category,score,source_id,paper_title,source_file,section_or_page,object_type,object_name,short_claim_summary,verbatim_or_near_verbatim_claim,citation_pointer,version_preference_status,canonical_status,AASC_family,AASC_subfamily,kernel_role,interface_role,closure_role,gate_role,impossibility_role,construction_role
B_role_compression,21,CL-CLG_Quotient_Normalization_Closure_E57531-DEF-002,"CLG - Quotient-Normalization Closure for Charged-Lepton Mass-Role Branch Identity Skin/Tensor Separation, Presentation-Collapse, and Exhaustion of Quotient-Dependent Alternatives",CLG___Quotient_Normalization_Closure_for_Charged_Lepton_Mass_Role_Branch_Identity.pdf,Page 6; formal number 2.2,Definition,Frozen CLG source register,"SCLG is the frozen source register for CLG. It consists of CL1-CL5; CLX, CLY, CLZ; CLA, CLB, CLB2, CLC, CLD, CLE, and CLF; the AASC and ATS material governing admissibility, standing, anchor/tensor/skin separation, fixed-domain exhaustion, and standing-preserving redescription; R7 and R9 on particle persistence and mass-role compression; gauge, charge,...","Definition 2.2 (Frozen CLG source register). SCLG is the frozen source register for CLG. It consists of CL1-CL5; CLX, CLY, CLZ; CLA, CLB, CLB2, CLC, CLD, CLE, and CLF; the AASC and ATS material governing admissibility, standing, anchor/tensor/skin separation, fixed-domain exhaustion, and standing-preserving redescription; R7 and R9 on particle persistence and mass-role compression; gauge, charge, anomaly, and residual-sector rigidity material; and numerical readiness, exactness, mass-ratio, finite-table, and matrix/eigenstructure guardrails.","CLG___Quotient_Normalization_Closure_for_Charged_Lepton_Mass_Role_Branch_Identity.pdf, p. 6",,Candidate canonical object from source PDF,Physics structural-recovery layer,"Standard Model, gauge, charge, chiral, Yukawa, mass, mixing, phase, holonomy recovery","Directly constrains admissibility, standing, reference fixation, confirmation, identity preservation, or irreversibility.","Controls AASC interface formation, metric/nonmetric status, admissible interior, quotient/projection, or bookkeeping interpretation.","Provides closure, exhaustion, minimality, uniqueness, maximality, or certificate support.",Gate/envelope/scope/modality/classification/audit-control role.,"Blocks illicit primitive, repair, surrogate, overreach, compatibility, or standing-laundering moves.","Controls admissible construction or application in a formal, physical, agentic, or engineering regime."
B_role_compression,19,AASC-MGN8-PROP-9-6,Numerical Readiness Capstone,MGN8 Numerical_Readiness Capstone over the Canonical/Numerical_Readiness_Capstone.pdf,MGN8 p. 10 / Proposition 9.6,Proposition,Role-Rank Collapse Principle,Admissible parameter-space collapse is possible only through reduction of standing-bearing role-rank components across the carrier stack or through obstruction of would-be role directions.,"Admissible parameter-space collapse is possible only through reduction of standing-bearing role-rank components across the carrier stack or through obstruction of would-be role directions. A raw coordinate reduction that does not change any role-rank or obstruction class is bookkeeping, not numerical collapse. 10 Proof. Parameter-space collapse is a statement about standing numerical possibilities. Standing numerical possibilities are counted or bounded by carrier role-ranks and obstruction classes. If a proposed reduction changes neither the role-rank vector nor the obstruction map, then it preserves the same standing-bearing possibilities and merely redescribes the coordinate chart. Genuine collapse must therefore reduce role-rank support or record a standing obstruction. 10 Global obstruction map",MGN8 Proposition 9.6,,Canonical uploaded PDF source; object-level row may later be merged with exact duplicate/reformulation if corpus-wide duplicate found.,General AASC numerical-readiness / rigidity / carrier-stack layer,Global numerical-readiness capstone and registry discipline,,,Rigidity/exhaustion/uniqueness/completeness closure object,,Exclusion / no-laundering / notation-collapse / failure-route constraint,"Controls admissible carrier attachment, carrier preservation, and numerical-standing inheritance"
C_kernel_admissibility,100,ERK20260527-New_erk_files_May_7381DE-CST-001,"Eadem Natura, Duo Spectra: The Forced Two-Spectrum Structure of Evaluability",New_erk_files_May_27_Eadem_Natura__Duo_Spectra.pdf,Page 9; formal number 2.4,Constraint,Target-Class Entry Gate,"Let a construction system purport to operate over a fixed domain with a determinate admissibility boundary, irreversible evaluation, identity preservation, stable reuse, and terminal breakdown handling. Then any construction sequence that denies admissibility, standing, fixed-domain constraint, identity preservation, irreversibility, or collapse semantics...","Constraint 2.4 (Target-Class Entry Gate). Let a construction system purport to operate over a fixed domain with a determinate admissibility boundary, irreversible evaluation, identity preservation, stable reuse, and terminal breakdown handling. Then any construction sequence that denies admissibility, standing, fixed-domain constraint, identity preservation, irreversibility, or collapse semantics fails to instantiate the target class. Conversely, any system instantiating the target class must realize those constraints under some notation. Constraint demonstration. Irreversible evaluation requires a boundary between admitted and non-admitted construction sequences; without such a boundary, no evaluated state is determinately retained as an evaluated state. Identity preservation requires that construction states remain fixed across admissible continuation; without it, later use is not reuse of the same constructed state. Stable reuse requires a standing status; without standing, prior admissibility does not persist as a usable status. Fixed-domain operation requires a scope lock; without it, apparent continuation is silent domain replacement. Terminal breakdown handling requires collapse semantics; without it, failed construction sequences can be laundered by same-trajectory repair","New_erk_files_May_27_Eadem_Natura__Duo_Spectra.pdf, p. 9",Preferred hardened version,Preferred hardened candidate from May 27 ERK source PDF,Kernel / admissibility-standing-reference-irreversibility,"kernel primitives, standing, reference, admissibility, irreversibility","Directly constrains admissibility, standing, reference fixation, confirmation, identity preservation, non-degeneracy, or irreversibility.",,"Provides closure, exhaustion, minimality, uniqueness, rigidity, maximality, forcing, or certificate support.",Gate/envelope/scope/modality/classification/audit-control role.,"Blocks illicit primitive, repair, surrogate, overreach, compatibility, or standing-laundering moves.","Controls admissible construction or application in a formal, physical, agentic, numerical, or engineering regime."
C_kernel_admissibility,100,ERK20260527-New_erk_files_May_534018-DEF-001,Standing-Admissibility Identity Closure A Fixed-Domain Meta-Necessity Closure,New_erk_files_May_27_Standing_Admissibility_Identity_Closure.pdf,Page 2; formal number 2.1,Definition,Fixed domain,"A fixed domain is a tuple D = (X, A, S, ⇝, ∼)","Definition 2.1 (Fixed domain). A fixed domain is a tuple D = (X, A, S, ⇝, ∼)","New_erk_files_May_27_Standing_Admissibility_Identity_Closure.pdf, p. 2",Preferred hardened version,Preferred hardened candidate from May 27 ERK source PDF,Kernel / admissibility-standing-reference-irreversibility,"kernel primitives, standing, reference, admissibility, irreversibility","Directly constrains admissibility, standing, reference fixation, confirmation, identity preservation, non-degeneracy, or irreversibility.",,"Provides closure, exhaustion, minimality, uniqueness, rigidity, maximality, forcing, or certificate support.",,,
C_kernel_admissibility,96,FE-The_Structural_Inadmissibility_of_41154A-DEF-001,The Structural Inadmissibility of the Null Regime A Fixed-Domain Closure Theorem under AASC,The_Structural_Inadmissibility_of_the_Null_Regime.pdf,Page 7; formal number 4.1,Definition,Fixed domain,"A fixed domain D is a comparison setting in which candidate identity, admissibility status, standing-bearing continuation, transport, quotient identity, and lawful redescription are evaluated against a stable invariant bundle.","Definition 4.1 (Fixed domain). A fixed domain D is a comparison setting in which candidate identity, admissibility status, standing-bearing continuation, transport, quotient identity, and lawful redescription are evaluated against a stable invariant bundle.","The_Structural_Inadmissibility_of_the_Null_Regime.pdf, p. 7",Superseded by hardened May 27 ERK version,Candidate canonical object from source PDF; Superseded older version retained for provenance,Kernel / admissibility-standing-reference-irreversibility,"kernel primitives, standing, reference, admissibility, irreversibility","Directly constrains admissibility, standing, reference fixation, confirmation, identity preservation, or irreversibility.","Controls AASC interface formation, metric/nonmetric status, admissible interior, quotient/projection, or bookkeeping interpretation.","Provides closure, exhaustion, minimality, uniqueness, rigidity, maximality, forced-existence, forcing, or certificate support.",Gate/envelope/scope/modality/classification/audit-control role.,,
C_kernel_admissibility,95,ERK20260527-New_erk_files_May_6DC183-THM-008,"Anchor, Tensor, and Skin: A Fixed-Domain Decomposition Theorem for Admissible Description",New_erk_files_May_27_Anchor__Tensor__and_Skin__A_Fixed_Domain_Decomposition_Theorem_for_Admissible_Description.pdf,Page 16; formal number 4B,Theorem,(No second same-scope classifier on the descrip-,"Let G and G′ be lawful same-scope classifiers on the fixed evaluated domain induced by a description at scope S, each stated to govern admissibility-bearing fixation, standing-bearing reuse, or any descriptive split that affects licensed continuation. Then G = G′ pointwise on that fixed domain. Accordingly, no second same-scope descriptive classifier...","4.26. Theorem 4B (No second same-scope classifier on the descrip tive carrier) Let G and G′ be lawful same-scope classifiers on the fixed evaluated domain induced by a description at scope S, each stated to govern admissibility-bearing fixation, standing-bearing reuse, or any descriptive split that affects licensed continuation. Then G = G′ pointwise on that fixed domain. Accordingly, no second same-scope descriptive classifier survives between admissibility and standing, and no auxiliary metadata layer can acquire load-bearing classifier authority without either extensional collapse to the unique gate or illicit boundary-side selector work. Proof. Assume G(x) ̸= G′ (x) for some evaluated state x on the same scope. If both verdicts are allowed to stand, then the same evaluated state is both positive and negative for the same same-scope governance role, collapsing bivalence on the evaluated fragment. If only one verdict is treated as authoritative, then a higher-order selector is required to decide which classifier governs on x. The AMetric boundary and no-selector discipline forbid such","New_erk_files_May_27_Anchor__Tensor__and_Skin__A_Fixed_Domain_Decomposition_Theorem_for_Admissible_Description.pdf, p. 16",Preferred hardened version,Preferred hardened candidate from May 27 ERK source PDF,Kernel / admissibility-standing-reference-irreversibility,"kernel primitives, standing, reference, admissibility, irreversibility","Directly constrains admissibility, standing, reference fixation, confirmation, identity preservation, non-degeneracy, or irreversibility.","Controls AASC interface formation, metric/nonmetric status, admissible interior, quotient/projection, or bookkeeping interpretation.","Provides closure, exhaustion, minimality, uniqueness, rigidity, maximality, forcing, or certificate support.",Gate/envelope/scope/modality/classification/audit-control role.,"Blocks illicit primitive, repair, surrogate, overreach, compatibility, or standing-laundering moves.",
C_kernel_admissibility,95,ERK20260527-New_erk_files_May_311F0C-DEF-008,Boundary-Trace Fixation of Continuation Loci under AASC A Role-Anchor Theorem for Fixed-Domain Persistence,New_erk_files_May_27_Boundary_Trace_Fixation_of_Continuation_Loci_under_AASC.pdf,Page 6; formal number 3.8,Definition,Boundary trace,"A boundary trace B for SL is an admissibility-preserving asymmetry interface between internally non-selective continuation structure and role-anchor fixation. Formally, it is a declared channel predicate B : SL → {0, 1} represented inside the fixed domain. It is admissible only if it is bivalent, outcome-independent, stable under identity-preserving channel...","Definition 3.8 (Boundary trace). A boundary trace B for SL is an admissibility-preserving asymmetry interface between internally non-selective continuation structure and role-anchor fixation. Formally, it is a declared channel predicate B : SL → {0, 1} represented inside the fixed domain. It is admissible only if it is bivalent, outcome-independent, stable under identity-preserving channel transformations, declared before role use, same-domain conservative, continuation-compatible, and quotient-compatible. Its typed functions are:","New_erk_files_May_27_Boundary_Trace_Fixation_of_Continuation_Loci_under_AASC.pdf, p. 6",Preferred hardened version,Preferred hardened candidate from May 27 ERK source PDF,Kernel / admissibility-standing-reference-irreversibility,"kernel primitives, standing, reference, admissibility, irreversibility","Directly constrains admissibility, standing, reference fixation, confirmation, identity preservation, non-degeneracy, or irreversibility.","Controls AASC interface formation, metric/nonmetric status, admissible interior, quotient/projection, or bookkeeping interpretation.","Provides closure, exhaustion, minimality, uniqueness, rigidity, maximality, forcing, or certificate support.",Gate/envelope/scope/modality/classification/audit-control role.,,
C_kernel_admissibility,95,ERK20260527-New_erk_files_May_311F0C-DEF-010,Boundary-Trace Fixation of Continuation Loci under AASC A Role-Anchor Theorem for Fixed-Domain Persistence,New_erk_files_May_27_Boundary_Trace_Fixation_of_Continuation_Loci_under_AASC.pdf,Page 7; formal number 3.10,Definition,Boundary-trace fixation,"FixD (B, [LD ]≡Loc , [RL ]≡Role ) holds iff the admissible boundary trace B fixes the role-anchor equivalence class [RL ]≡Role for the continuation-locus class [LD ]≡Loc while preserving the fixed domain, the role vocabulary, the admissibility gate, the transport behavior, the quotient behavior, fixation behavior, and fail-closed standing discipline....","Definition 3.10 (Boundary-trace fixation). FixD (B, [LD ]≡Loc , [RL ]≡Role ) holds iff the admissible boundary trace B fixes the role-anchor equivalence class [RL ]≡Role for the continuation-locus class [LD ]≡Loc while preserving the fixed domain, the role vocabulary, the admissibility gate, the transport behavior, the quotient behavior, fixation behavior, and fail-closed standing discipline. Fixation is quotient-level role assignment; it is not canonical representative selection.","New_erk_files_May_27_Boundary_Trace_Fixation_of_Continuation_Loci_under_AASC.pdf, p. 7",Preferred hardened version,Preferred hardened candidate from May 27 ERK source PDF,Kernel / admissibility-standing-reference-irreversibility,"kernel primitives, standing, reference, admissibility, irreversibility","Directly constrains admissibility, standing, reference fixation, confirmation, identity preservation, non-degeneracy, or irreversibility.","Controls AASC interface formation, metric/nonmetric status, admissible interior, quotient/projection, or bookkeeping interpretation.",,Gate/envelope/scope/modality/classification/audit-control role.,,
D_redescription_transport,84,ERK20260527-New_erk_files_May_3ED34B-THM-003,Gravity as Structural Necessity An AASC Account of the GR-Type Physical Interior,New_erk_files_May_27_Gravity_as_Structural_Necessity.pdf,Page 9; formal number 4.4,Theorem,Quotient necessity for physical standing,"If a physical domain supports reusable same-domain physical content under lawful redescription, then its standing-bearing content factors through a quotient by admissible redescription. Proof. Let p, p′ ∈ PX be two presentations related by lawful redescription and suppose they are not identified in standing content. Then the domain distinguishes them as...","Theorem 4.4 (Quotient necessity for physical standing). If a physical domain supports reusable same-domain physical content under lawful redescription, then its standing-bearing content factors through a quotient by admissible redescription. Proof. Let p, p′ ∈ PX be two presentations related by lawful redescription and suppose they are not identified in standing content. Then the domain distinguishes them as different physical contents despite the absence of an admissible witness separating them. This either privileges one representation as identity-grounding or imports a hidden discriminator not present in the physical observable structure. Both violate the kernel: representation privilege violates reference stability, and hidden discrimination violates standing because it cannot be reused as licit same-domain observable content. Hence lawfully redescribed states must be identified. Conversely, a quotient by lawful redescription preserves exactly those distinctions that survive admissible witnesses and continuation. Thus standing-bearing content factors through PX / ∼X .","New_erk_files_May_27_Gravity_as_Structural_Necessity.pdf, p. 9",Preferred hardened version,Preferred hardened candidate from May 27 ERK source PDF,Kernel / admissibility-standing-reference-irreversibility,"kernel primitives, standing, reference, admissibility, irreversibility","Directly constrains admissibility, standing, reference fixation, confirmation, identity preservation, non-degeneracy, or irreversibility.","Controls AASC interface formation, metric/nonmetric status, admissible interior, quotient/projection, or bookkeeping interpretation.","Provides closure, exhaustion, minimality, uniqueness, rigidity, maximality, forcing, or certificate support.",Gate/envelope/scope/modality/classification/audit-control role.,"Blocks illicit primitive, repair, surrogate, overreach, compatibility, or standing-laundering moves.","Controls admissible construction or application in a formal, physical, agentic, numerical, or engineering regime."
D_redescription_transport,83,ERK20260527-New_erk_files_May_28F3BE-LEM-003,Matter-Antimatter Asymmetry as the Unique Admissible Reconstruction of Persistent Cosmological Identity Exchangeability Non-Transportability under Irreversible Cosmological Continuation,New_erk_files_May_27_Matter_Antimatter_Asymmetry_as_the_Unique_Admissible_Reconstruction.pdf,Page 17; formal number 7.2,Lemma,Exchange-relevant retrieval-irreversibility lemma,"Let h undergo irreversible loss of retrievable correlation on S. If the late scope does not contain the data and lawful redescription rules required to construct an exchangeability preservation certificate, then no exact matter-antimatter exchange map is recoverable as a same-scope identity symmetry. In particular, global microstate retention is irrelevant...","Lemma 7.2 (Exchange-relevant retrieval-irreversibility lemma). Let h undergo irreversible loss of retrievable correlation on S. If the late scope does not contain the data and lawful redescription rules required to construct an exchangeability preservation certificate, then no exact matter-antimatter exchange map is recoverable as a same-scope identity symmetry. In particular, global microstate retention is irrelevant to the theorem unless it induces such a certificate from the data admitted by S. Proof. Recovering exact exchangeability as a same-scope identity symmetry requires more than an external statement that some total description contains correlations. It requires a lawful map, available from the late scope’s admitted data and redescription rules, that carries the pre-irreversible exchange involution into the post-irreversible anchor quotient while preserving carrier-role profiles, downstream material-reference roles, admissible continuation, and the sign-coherent burden of the scope. That map is exactly an exchangeability preservation certificate. If the late scope lacks the data or rules needed to construct it, then any alleged recovery uses hidden external indexing, a selector, or a changed theorem object rather than same-scope admissible recovery. Hence exact exchange","New_erk_files_May_27_Matter_Antimatter_Asymmetry_as_the_Unique_Admissible_Reconstruction.pdf, p. 17",Preferred hardened version,Preferred hardened candidate from May 27 ERK source PDF,Constraint envelope / redescription layer,"constraint envelopes, scope, redescription, envelope non-contact, transport control","Directly constrains admissibility, standing, reference fixation, confirmation, identity preservation, non-degeneracy, or irreversibility.","Controls AASC interface formation, metric/nonmetric status, admissible interior, quotient/projection, or bookkeeping interpretation.","Provides closure, exhaustion, minimality, uniqueness, rigidity, maximality, forcing, or certificate support.",Gate/envelope/scope/modality/classification/audit-control role.,,"Controls admissible construction or application in a formal, physical, agentic, numerical, or engineering regime."
D_redescription_transport,81,AASC4-P12-THM-003,Gravity as Structural Necessity An AASC Account of the GR-Type Physical Interior,Gravity_as_Structural_Necessity.pdf,Page 9; formal number 4.4,Theorem,Quotient necessity for physical standing,"If a physical domain supports reusable same-domain physical content under lawful redescription, then its standing-bearing content factors through a quotient by admissible redescription. Proof. Let p, p′ ∈ PX be two presentations related by lawful…","Theorem 4.4 (Quotient necessity for physical standing). If a physical domain supports reusable same-domain physical content under lawful redescription, then its standing-bearing content factors through a quotient by admissible redescription. Proof. Let p, p′ ∈ PX be two presentations related by lawful redescription and suppose they are not identified in standing content. Then the domain distinguishes them as different physical contents despite the absence of an admissible witness separating them. This either privileges one representation as identity-grounding or imports a hidden discriminator not present in the physical observable structure. Both violate the kernel: representation privilege violates reference stability, and hidden discrimination violates standing because it cannot be reused as licit same-domain observable content. Hence lawfully redescribed states must be identified. Con","Gravity_as_Structural_Necessity.pdf, p. 9",Superseded by hardened May 27 ERK version,Candidate canonical object from source PDF; Superseded older version retained for provenance,Physics-facing interpretive/reconstruction layer,GR/QM/quantum-record/endpoint-structure control,Defines/enforces kernel admissibility or standing conditions,Constrains interface/quotient/transport behavior,Supports closure-by-exhaustion or uniqueness control,,Blocks a failure/escape/reanchoring class,Controls admissible construction/description/object identity
D_redescription_transport,80,ERK20260527-New_erk_files_May_553AA0-PRO-021,"Closure by Exhaustion for Same-Scope Operators under Admissibility A self-contained derivation from graph rigidity, family classification, and interaction closure",New_erk_files_May_27_Closure_by_Exhaustion_for_Same_Scope_Operators_under_Admissibility.pdf,Page 28; formal number 2.8,Proposition,"Definitions of standing, lawful redescription, All later sections","Definitions of standing, lawful redescription, All later sections bookkeeping equivalence, and same-scope operators in Section 2","Proposition 2.8 Definitions of standing, lawful redescription, All later sections bookkeeping equivalence, and same-scope operators in Section 2","New_erk_files_May_27_Closure_by_Exhaustion_for_Same_Scope_Operators_under_Admissibility.pdf, p. 28",Preferred hardened version,Preferred hardened candidate from May 27 ERK source PDF,Kernel / admissibility-standing-reference-irreversibility,"kernel primitives, standing, reference, admissibility, irreversibility","Directly constrains admissibility, standing, reference fixation, confirmation, identity preservation, non-degeneracy, or irreversibility.","Controls AASC interface formation, metric/nonmetric status, admissible interior, quotient/projection, or bookkeeping interpretation.","Provides closure, exhaustion, minimality, uniqueness, rigidity, maximality, forcing, or certificate support.",Gate/envelope/scope/modality/classification/audit-control role.,,"Controls admissible construction or application in a formal, physical, agentic, numerical, or engineering regime."
D_redescription_transport,77,AASC4-P23-THM-022,"Structura Ex Necessitate Standardis Modelis A relative closure theorem for the Standard-Model bookkeeping interior under fixed load, fixed domain, and certificate-maximal same-domain transport",Structura_Ex_Necessitate_Standardis_Modelis.pdf,Page 45; formal number 7.2,Theorem,Interior closure and uniqueness (relative to the declared load and AdL,"). Within the declared load, the fixed-domain comparison class of Definition 1.8, and the admissibility envelope AdL , the SMbookkeeping interior is closed and unique up to admissible identity-preserving redescription. Any purported same-scope “extension”…","Theorem 7.2 (Interior closure and uniqueness (relative to the declared load and AdL )). Within the declared load, the fixed-domain comparison class of Definition 1.8, and the admissibility envelope AdL , the SMbookkeeping interior is closed and unique up to admissible identity-preserving redescription. Any purported same-scope “extension” either (a) reduces to the same interior by admissible redescription, or (b) violates standing preservation by importing forbidden load, moving the scope, changing witness content, changing the standing quotient or continuation structure, privileging a representation, invoking a closed repair strategy, or performing illicit scope transport. This is not a uniqueness theorem over all quantum field theories; it is a relative closure theorem over the fixed-domain SMbookkeeping interior. Construction witness. The discrete skeleton is forced up to overall norm","Structura_Ex_Necessitate_Standardis_Modelis.pdf, p. 45",Superseded by hardened May 27 ERK version,Candidate canonical object from source PDF; Superseded older version retained for provenance,Physics-facing structural recovery / Standard Model layer,SM/gauge/parameter-role control,Defines/enforces kernel admissibility or standing conditions,Constrains interface/quotient/transport behavior,Supports closure-by-exhaustion or uniqueness control,,Blocks a failure/escape/reanchoring class,Controls admissible construction/description/object identity
D_redescription_transport,75,ERK20260527-New_erk_files_May_4C9E73-THM-017,"A Fixed-Domain Exhaustion Theorem Standing, Admissibility, and the Determination of Consequence under Typed Boundary Discipline",New_erk_files_May_27_A_Fixed_Domain_Exhaustion_Theorem.pdf,Page 40; formal number 12.1,Theorem,Fixed-scope operator identity is representation-invariant,"Within a fixed scope, operator identity is invariant under lawful redescription: if two operator envelopes differ only by lawful redescription (notation/renaming/rebracketing), they denote the same operator. Treating them as distinct introduces a new standing-relevant discriminator/operator and violates structural exhaustion (Theorem 7.1). Dependencies....","Theorem 12.1 (Fixed-scope operator identity is representation-invariant). Within a fixed scope, operator identity is invariant under lawful redescription: if two operator envelopes differ only by lawful redescription (notation/renaming/rebracketing), they denote the same operator. Treating them as distinct introduces a new standing-relevant discriminator/operator and violates structural exhaustion (Theorem 7.1). Dependencies. AA7, AA3, AA1, AA6, AA5.","New_erk_files_May_27_A_Fixed_Domain_Exhaustion_Theorem.pdf, p. 40",Preferred hardened version,Preferred hardened candidate from May 27 ERK source PDF,Constraint envelope / redescription layer,"constraint envelopes, scope, redescription, envelope non-contact, transport control","Directly constrains admissibility, standing, reference fixation, confirmation, identity preservation, non-degeneracy, or irreversibility.",,"Provides closure, exhaustion, minimality, uniqueness, rigidity, maximality, forcing, or certificate support.",Gate/envelope/scope/modality/classification/audit-control role.,,"Controls admissible construction or application in a formal, physical, agentic, numerical, or engineering regime."
E_impossibility_blocks,121,MIL-MILLENNIUM_ZIP_Carrier_Universalit_9AAFB1-AXM-002,Carrier Universality and Global Smoothness for the Periodic 3D Navier-Stokes Equations A closure-induced impossibility proof of Feffermanś periodic statement (B),MILLENNIUM_ZIP_Carrier_Universality_and_Global_Smoothness_for_the_Periodic_3D_Navier_Stokes_Equations.pdf,Page 34; formal number 3.45,Axiom,"No generators, no carriers, no repairs","Standing cannot be generated, transported across scopes by association, or recovered inside a rejected lineage. Any move that requires post-hoc repair is inadmissible.","Axiom 3.45 (No generators, no carriers, no repairs). Standing cannot be generated, transported across scopes by association, or recovered inside a rejected lineage. Any move that requires post-hoc repair is inadmissible.","MILLENNIUM_ZIP_Carrier_Universality_and_Global_Smoothness_for_the_Periodic_3D_Navier_Stokes_Equations.pdf, p. 34",,Candidate canonical object from source PDF,Closure / impossibility / exhaustion layer,"closure, exhaustion, impossibility, no-repair, no-generator, no-carrier control","Directly constrains admissibility, standing, reference fixation, confirmation, identity preservation, well-definedness, or irreversibility.",,"Provides closure, exhaustion, minimality, uniqueness, rigidity, maximality, gap/smoothness, forced-existence, forcing, or certificate support.",Gate/envelope/scope/modality/classification/audit-control role.,"Blocks illicit primitive, repair, surrogate, overreach, compatibility, sector, or standing-laundering moves.","Controls admissible construction or application in a formal, physical, analytic, sector, numerical, or engineering regime."
E_impossibility_blocks,121,MIL-MILLENNIUM_ZIP_Carrier_Universalit_9AAFB1-PRO-016,Carrier Universality and Global Smoothness for the Periodic 3D Navier-Stokes Equations A closure-induced impossibility proof of Feffermanś periodic statement (B),MILLENNIUM_ZIP_Carrier_Universality_and_Global_Smoothness_for_the_Periodic_3D_Navier_Stokes_Equations.pdf,Page 72; formal number 15.3,Proposition,"No generators, no carriers, no repairs","Within the fixed standing lineage of an admitted Navier-Stokes description, no singular candidate may be made admissible by:","Proposition 15.3 (No generators, no carriers, no repairs). Within the fixed standing lineage of an admitted Navier-Stokes description, no singular candidate may be made admissible by:","MILLENNIUM_ZIP_Carrier_Universality_and_Global_Smoothness_for_the_Periodic_3D_Navier_Stokes_Equations.pdf, p. 72",,Candidate canonical object from source PDF,Closure / impossibility / exhaustion layer,"closure, exhaustion, impossibility, no-repair, no-generator, no-carrier control","Directly constrains admissibility, standing, reference fixation, confirmation, identity preservation, well-definedness, or irreversibility.",,"Provides closure, exhaustion, minimality, uniqueness, rigidity, maximality, gap/smoothness, forced-existence, forcing, or certificate support.",,"Blocks illicit primitive, repair, surrogate, overreach, compatibility, sector, or standing-laundering moves.","Controls admissible construction or application in a formal, physical, analytic, sector, numerical, or engineering regime."
E_impossibility_blocks,93,ERK20260527-New_erk_files_May_C3E3B7-THM-010,A Classification Theorem for Admissible Standard-Model Structures Uniqueness Under Standing-Preserving and Transport Constraints,New_erk_files_May_27_A_Classification_Theorem_for_Admissible_Standard_Model_Structures.pdf,Page 19; formal number 7.2,Theorem,Impossibility-suite exhaustion of rivals,"Let R be any purported non-equivalent rival to SMbook inside the target particle-physics comparison problem. If R is not admissibly equivalent to SMbook , then R violates at least one element of the AASC Impossibility Suite or leaves the same-domain target. Conversely, any construction satisfying no-generator, no-carrier, and no-repair obligations factors...","Theorem 7.2 (Impossibility-suite exhaustion of rivals). Let R be any purported non-equivalent rival to SMbook inside the target particle-physics comparison problem. If R is not admissibly equivalent to SMbook , then R violates at least one element of the AASC Impossibility Suite or leaves the same-domain target. Conversely, any construction satisfying no-generator, no-carrier, and no-repair obligations factors through the existing standing quotient and is not a non-equivalent rival.","New_erk_files_May_27_A_Classification_Theorem_for_Admissible_Standard_Model_Structures.pdf, p. 19",Preferred hardened version,Preferred hardened candidate from May 27 ERK source PDF,Closure / impossibility / exhaustion layer,"closure, exhaustion, impossibility, no-repair, no-generator, no-carrier control","Directly constrains admissibility, standing, reference fixation, confirmation, identity preservation, non-degeneracy, or irreversibility.","Controls AASC interface formation, metric/nonmetric status, admissible interior, quotient/projection, or bookkeeping interpretation.","Provides closure, exhaustion, minimality, uniqueness, rigidity, maximality, forcing, or certificate support.",Gate/envelope/scope/modality/classification/audit-control role.,"Blocks illicit primitive, repair, surrogate, overreach, compatibility, or standing-laundering moves.","Controls admissible construction or application in a formal, physical, agentic, numerical, or engineering regime."
E_impossibility_blocks,63,ERK20260527-New_erk_files_May_D2FE05-BND-001,"Constraint Architectures for Coherent Evaluability Quotient Interfaces, Kernel Instantiation, and Structural Persistence",New_erk_files_May_27_Constraint_Architectures_for_Coherent_Evaluability.pdf,Page 43; unnumbered named formal object,Boundary,trace fixation Supplies the declared-trace normal form for role fixation af-,"Boundary-trace fixation Supplies the declared-trace normal form for role fixation af ter internal and indexical/provenance asymmetries are ex hausted. Fixed-domain exhaustion Supplies no-hidden-remainder: every governance-bearing variation changes boundary typing, standing partition, wit ness/trace content, lawful quotient, continuation, or role structure....","Boundary-trace fixation Supplies the declared-trace normal form for role fixation af ter internal and indexical/provenance asymmetries are ex hausted. Fixed-domain exhaustion Supplies no-hidden-remainder: every governance-bearing variation changes boundary typing, standing partition, wit ness/trace content, lawful quotient, continuation, or role structure. Standing-admissibility identity Collapses same-domain separation routes between standing closure and admissibility and rules out competing gates. Same-scope operator closure Rules out totalization, completion, repair, forcing, satura tion, diagonalization, fixed-point, universal-property, and foundation-swap operator escapes. Unus solus / unique admissible Strengthens the no-generators, no-carriers, no-repairs, nointerior scope-transport, no-competing-gates, and uniqueness-of-","New_erk_files_May_27_Constraint_Architectures_for_Coherent_Evaluability.pdf, p. 43",Preferred hardened version,Preferred hardened candidate from May 27 ERK source PDF,Closure / impossibility / exhaustion layer,"closure, exhaustion, impossibility, no-repair, no-generator, no-carrier control","Directly constrains admissibility, standing, reference fixation, confirmation, identity preservation, non-degeneracy, or irreversibility.","Controls AASC interface formation, metric/nonmetric status, admissible interior, quotient/projection, or bookkeeping interpretation.","Provides closure, exhaustion, minimality, uniqueness, rigidity, maximality, forcing, or certificate support.",Gate/envelope/scope/modality/classification/audit-control role.,"Blocks illicit primitive, repair, surrogate, overreach, compatibility, or standing-laundering moves.","Controls admissible construction or application in a formal, physical, agentic, numerical, or engineering regime."
