component,score,is_preferred_hardened,version_preference_status,preferred_source_date,hardened_batch,source_id,paper_title,source_file,section_or_page,object_type,object_name,short_claim_summary,verbatim_or_near_verbatim_claim,canonical_formulation,licenses,forbids,dependencies,downstream_uses,paper_insertion_targets,AASC_family,AASC_subfamily,referee_risk,matched_terms
uniqueness_admissible_interior,215,YES,Preferred hardened version,2026-05-27 upload; individual PDF modified dates preserved in archive,New erk files May 27.zip,ERK20260527-New_erk_files_May_ACEB9B-ASM-004,"The Structure of Admissibility Ametricity, Bivalence, and the Unique Admissible Interior",New_erk_files_May_27_The_Structure_of_Admissibility.pdf,Page 5; formal number 2.6,Assumption,Identity-preserving transformation closure,"Identity-preserving transformation respects licensed composition whenever the relevant composites are defined. In particular, if x ∼ y and f (x), f (y) are both defined for a licensed transformation f , then f (x) ∼ f (y).","Assumption 2.6 (Identity-preserving transformation closure). Identity-preserving transformation respects licensed composition whenever the relevant composites are defined. In particular, if x ∼ y and f (x), f (y) are both defined for a licensed transformation f , then f (x) ∼ f (y).",Identity-preserving transformation closure,kernel-consistent AASC deployment; interface-safe reconstruction; closure-controlled downstream use,"unlicensed numerical fit, parameter import, or empirical value laundering",As declared or implied in source object; dependency normalization pending.,kernel/interface synthesis; AMetric/interface/interior arcs; closure/exhaustion/rigidity mapping,kernel/interface synthesis; AMetric/interface/interior arcs; closure/exhaustion/rigidity mapping,AMetric / interface / interior layer,"AMetric Boundary, bivalence, admissible interior, regime-invariant interface control",High value for numerical/parameter/metric overclaim firewall control,admissible interior | unique admissible interior | uniqueness
uniqueness_admissible_interior,215,YES,Preferred hardened version,2026-05-27 upload; individual PDF modified dates preserved in archive,New erk files May 27.zip,ERK20260527-New_erk_files_May_ACEB9B-DEF-003,"The Structure of Admissibility Ametricity, Bivalence, and the Unique Admissible Interior",New_erk_files_May_27_The_Structure_of_Admissibility.pdf,Page 5; formal number 2.7,Definition,Regime-preserving extension,"Fix a compositional system S = (X, T , ◦, id, ∼) and a domain D. A compositional system S′ = (X ′ , T ′ , ◦′ , id′ , ∼′ ) is a regime-preserving extension of (S, D) if:","Definition 2.7 (Regime-preserving extension). Fix a compositional system S = (X, T , ◦, id, ∼) and a domain D. A compositional system S′ = (X ′ , T ′ , ◦′ , id′ , ∼′ ) is a regime-preserving extension of (S, D) if:",Regime-preserving extension,kernel-consistent AASC deployment; interface-safe reconstruction; closure-controlled downstream use; typed AASC construction under fixed scope,"unlicensed numerical fit, parameter import, or empirical value laundering",As declared or implied in source object; dependency normalization pending.,kernel/interface synthesis; AMetric/interface/interior arcs; closure/exhaustion/rigidity mapping,kernel/interface synthesis; AMetric/interface/interior arcs; closure/exhaustion/rigidity mapping,AMetric / interface / interior layer,"AMetric Boundary, bivalence, admissible interior, regime-invariant interface control",High value for numerical/parameter/metric overclaim firewall control,admissible interior | unique admissible interior | uniqueness
uniqueness_admissible_interior,215,YES,Preferred hardened version,2026-05-27 upload; individual PDF modified dates preserved in archive,New erk files May 27.zip,ERK20260527-New_erk_files_May_ACEB9B-REM-002,"The Structure of Admissibility Ametricity, Bivalence, and the Unique Admissible Interior",New_erk_files_May_27_The_Structure_of_Admissibility.pdf,Page 5; formal number 2.8,Remark,What is not assumed at the compositional layer,"No extra admissibility predicate, no separate standing classifier, no metric structure, and no specific deductive formalism are inserted as independent structural data at the compositional layer. That omission is not a search for a deeper generator beneath admissibility, standing, reference, or irreversibility. Within the present manuscript, Theorems 4.29...","Remark 2.8 (What is not assumed at the compositional layer). No extra admissibility predicate, no separate standing classifier, no metric structure, and no specific deductive formalism are inserted as independent structural data at the compositional layer. That omission is not a search for a deeper generator beneath admissibility, standing, reference, or irreversibility. Within the present manuscript, Theorems 4.29 to 4.31 show that any purported lower generator either imports illicit structure, collapses to triviality, violates the base assumptions, or reduces extensionally to the admissibility gate itself, and that a same-domain extension cannot evade that conclusion without either importing fresh authority for the old acts, violating the base goods, or collapsing back to the gate extensionally. Primitive status here therefore means structural non-derivability within the same fixed-domain meaningful regime rather than merely undeveloped. The present base is minimal on the compositional side, not a sub-kernel from which the governance layer itself is produced.",What is not assumed at the compositional layer,kernel-consistent AASC deployment; interface-safe reconstruction; closure-controlled downstream use; gated admissibility evaluation,"ungated scope transport or modality laundering; primitive reification, compatibility-only promotion, or post-hoc repair; unlicensed numerical fit, parameter import, or empirical value laundering",As declared or implied in source object; dependency normalization pending.,kernel/interface synthesis; AMetric/interface/interior arcs; closure/exhaustion/rigidity mapping; gate/validator architecture; Impossibility Suite / boundary blockers,kernel/interface synthesis; AMetric/interface/interior arcs; closure/exhaustion/rigidity mapping; gate/validator architecture; Impossibility Suite / boundary blockers,AMetric / interface / interior layer,"AMetric Boundary, bivalence, admissible interior, regime-invariant interface control",High value for numerical/parameter/metric overclaim firewall control,admissible interior | unique admissible interior | uniqueness
uniqueness_admissible_interior,215,YES,Preferred hardened version,2026-05-27 upload; individual PDF modified dates preserved in archive,New erk files May 27.zip,ERK20260527-New_erk_files_May_ACEB9B-DEF-004,"The Structure of Admissibility Ametricity, Bivalence, and the Unique Admissible Interior",New_erk_files_May_27_The_Structure_of_Admissibility.pdf,Page 6; formal number 3.1,Definition,Reference-stable invariant,"For a fixed domain D, a map I : X → Y is a reference-stable invariant when:","Definition 3.1 (Reference-stable invariant). For a fixed domain D, a map I : X → Y is a reference-stable invariant when:",Reference-stable invariant,kernel-consistent AASC deployment; interface-safe reconstruction; closure-controlled downstream use,"unlicensed numerical fit, parameter import, or empirical value laundering",As declared or implied in source object; dependency normalization pending.,kernel/interface synthesis; AMetric/interface/interior arcs; closure/exhaustion/rigidity mapping,kernel/interface synthesis; AMetric/interface/interior arcs; closure/exhaustion/rigidity mapping,AMetric / interface / interior layer,"AMetric Boundary, bivalence, admissible interior, regime-invariant interface control",High value for numerical/parameter/metric overclaim firewall control,admissible interior | unique admissible interior | uniqueness
uniqueness_admissible_interior,215,YES,Preferred hardened version,2026-05-27 upload; individual PDF modified dates preserved in archive,New erk files May 27.zip,ERK20260527-New_erk_files_May_ACEB9B-LEM-001,"The Structure of Admissibility Ametricity, Bivalence, and the Unique Admissible Interior",New_erk_files_May_27_The_Structure_of_Admissibility.pdf,Page 6; formal number 3.2,Lemma,Reference stabilization,"Under Theorems 2.4 and 2.6, nontrivial reference on a fixed domain requires a nonempty family ID of reference-stable invariants.","Lemma 3.2 (Reference stabilization). Under Theorems 2.4 and 2.6, nontrivial reference on a fixed domain requires a nonempty family ID of reference-stable invariants.",Reference stabilization,kernel-consistent AASC deployment; interface-safe reconstruction; closure-controlled downstream use,"unlicensed numerical fit, parameter import, or empirical value laundering",As declared or implied in source object; dependency normalization pending.,kernel/interface synthesis; AMetric/interface/interior arcs; closure/exhaustion/rigidity mapping,kernel/interface synthesis; AMetric/interface/interior arcs; closure/exhaustion/rigidity mapping,AMetric / interface / interior layer,"AMetric Boundary, bivalence, admissible interior, regime-invariant interface control",High value for numerical/parameter/metric overclaim firewall control,admissible interior | unique admissible interior | uniqueness
uniqueness_admissible_interior,215,YES,Preferred hardened version,2026-05-27 upload; individual PDF modified dates preserved in archive,New erk files May 27.zip,ERK20260527-New_erk_files_May_ACEB9B-PRO-001,"The Structure of Admissibility Ametricity, Bivalence, and the Unique Admissible Interior",New_erk_files_May_27_The_Structure_of_Admissibility.pdf,Page 6; formal number 3.3,Proposition,Collapse without stabilized invariants,"If no nontrivial invariant survives identity-preserving transformation, then at least one of the following occurs:","Proposition 3.3 (Collapse without stabilized invariants). If no nontrivial invariant survives identity-preserving transformation, then at least one of the following occurs:",Collapse without stabilized invariants,kernel-consistent AASC deployment; interface-safe reconstruction; closure-controlled downstream use,"primitive reification, compatibility-only promotion, or post-hoc repair; unlicensed numerical fit, parameter import, or empirical value laundering",As declared or implied in source object; dependency normalization pending.,kernel/interface synthesis; AMetric/interface/interior arcs; closure/exhaustion/rigidity mapping; Impossibility Suite / boundary blockers,kernel/interface synthesis; AMetric/interface/interior arcs; closure/exhaustion/rigidity mapping; Impossibility Suite / boundary blockers,AMetric / interface / interior layer,"AMetric Boundary, bivalence, admissible interior, regime-invariant interface control",High value for numerical/parameter/metric overclaim firewall control,admissible interior | unique admissible interior | uniqueness
uniqueness_admissible_interior,215,YES,Preferred hardened version,2026-05-27 upload; individual PDF modified dates preserved in archive,New erk files May 27.zip,ERK20260527-New_erk_files_May_ACEB9B-COR-001,"The Structure of Admissibility Ametricity, Bivalence, and the Unique Admissible Interior",New_erk_files_May_27_The_Structure_of_Admissibility.pdf,Page 6; formal number 3.4,Corollary,Licensed transformations preserve the relevant invariant bundle,Any transformation later counted as licensed on D must preserve the members of ID relevant to the target it claims to track.,Corollary 3.4 (Licensed transformations preserve the relevant invariant bundle). Any transformation later counted as licensed on D must preserve the members of ID relevant to the target it claims to track.,Licensed transformations preserve the relevant invariant bundle,kernel-consistent AASC deployment; interface-safe reconstruction; closure-controlled downstream use,"unlicensed numerical fit, parameter import, or empirical value laundering",As declared or implied in source object; dependency normalization pending.,kernel/interface synthesis; AMetric/interface/interior arcs; closure/exhaustion/rigidity mapping,kernel/interface synthesis; AMetric/interface/interior arcs; closure/exhaustion/rigidity mapping,AMetric / interface / interior layer,"AMetric Boundary, bivalence, admissible interior, regime-invariant interface control",High value for numerical/parameter/metric overclaim firewall control,admissible interior | unique admissible interior | uniqueness
uniqueness_admissible_interior,215,YES,Preferred hardened version,2026-05-27 upload; individual PDF modified dates preserved in archive,New erk files May 27.zip,ERK20260527-New_erk_files_May_ACEB9B-DEF-005,"The Structure of Admissibility Ametricity, Bivalence, and the Unique Admissible Interior",New_erk_files_May_27_The_Structure_of_Admissibility.pdf,Page 6; formal number 4.1,Definition,Pre-admissible proposal space,"A pre-admissible proposal space is a nonempty set P ⊆ X considered prior to admissibility fixation. At this layer no names, coordinates, indices,","Definition 4.1 (Pre-admissible proposal space). A pre-admissible proposal space is a nonempty set P ⊆ X considered prior to admissibility fixation. At this layer no names, coordinates, indices,",Pre-admissible proposal space,kernel-consistent AASC deployment; interface-safe reconstruction; closure-controlled downstream use,"unlicensed numerical fit, parameter import, or empirical value laundering",As declared or implied in source object; dependency normalization pending.,kernel/interface synthesis; AMetric/interface/interior arcs; closure/exhaustion/rigidity mapping,kernel/interface synthesis; AMetric/interface/interior arcs; closure/exhaustion/rigidity mapping,AMetric / interface / interior layer,"AMetric Boundary, bivalence, admissible interior, regime-invariant interface control",High value for numerical/parameter/metric overclaim firewall control,admissible interior | unique admissible interior | uniqueness
standing_admissibility_identity,215,YES,Preferred hardened version,2026-05-27 upload; individual PDF modified dates preserved in archive,New erk files May 27.zip,ERK20260527-New_erk_files_May_35B594-THM-020,"Non-Degenerate Construction and the Kernel of Admissibility An Exhaustion Theorem for Standing, Reference, and Irreversibility",New_erk_files_May_27_Non_Degenerate_Construction_and_the_Kernel_of_Admissibility.pdf,Page 25; formal number 6.4,Theorem,Standing equals reuse-stable admissibility,"Let StandD be any predicate claimed to mark those evaluated acts on a fixed domain D that are eligible for standing-bearing continuation, commitment, or licensed reuse. Then for every act a ∈ D,","Theorem 6.4 (Standing equals reuse-stable admissibility). Let StandD be any predicate claimed to mark those evaluated acts on a fixed domain D that are eligible for standing-bearing continuation, commitment, or licensed reuse. Then for every act a ∈ D,",Standing equals reuse-stable admissibility,kernel-consistent AASC deployment; closure-controlled downstream use; typed AASC construction under fixed scope,"Do not use outside fixed scope, as a free generator, or as an unlicensed cross-arc transport.",As declared or implied in source object; dependency normalization pending.,kernel/interface synthesis; closure/exhaustion/rigidity mapping,kernel/interface synthesis; closure/exhaustion/rigidity mapping,Kernel / admissibility-standing-reference-irreversibility,"kernel primitives, standing, reference, admissibility, irreversibility",Normal formal-object audit risk,reuse-stable | standing equals | standing-bearing
standing_admissibility_identity,200,YES,Preferred hardened version,2026-05-27 upload; individual PDF modified dates preserved in archive,New erk files May 27.zip,ERK20260527-New_erk_files_May_3D011A-COR-035,"Forty-Two Exhaustion, Closure, and Downstream Consequence",New_erk_files_May_27_Forty-Two.pdf,Page 74; formal number 8.21,Corollary,No primitive infinitary same-domain standing acts,There is no primitive samedomain act-token whose alleged standing-bearing force depends on an infinitary verification burden not reduced to a finite same-domain witness already visible on the fixed scope.,Corollary 8.21 (No primitive infinitary same-domain standing acts). There is no primitive samedomain act-token whose alleged standing-bearing force depends on an infinitary verification burden not reduced to a finite same-domain witness already visible on the fixed scope.,No primitive infinitary same-domain standing acts,kernel-consistent AASC deployment; closure-controlled downstream use; gated admissibility evaluation,ungated scope transport or modality laundering,As declared or implied in source object; dependency normalization pending.,kernel/interface synthesis; closure/exhaustion/rigidity mapping; gate/validator architecture; residue/discrete constraint arcs,kernel/interface synthesis; closure/exhaustion/rigidity mapping; gate/validator architecture; residue/discrete constraint arcs,Closure / impossibility / exhaustion layer,"closure, exhaustion, impossibility, no-repair, no-generator, no-carrier control",Normal formal-object audit risk,standing acts | standing-bearing
standing_admissibility_identity,200,YES,Preferred hardened version,2026-05-27 upload; individual PDF modified dates preserved in archive,New erk files May 27.zip,ERK20260527-New_erk_files_May_A396EB-BND-002,Persistence-Regime Realization under AASC A Fixed-Domain Realization Theorem for Irreversible Standing-Bearing Continuation,New_erk_files_May_27_Persistence_Regime_Realization_under_AASC.pdf,Page 19; unnumbered named formal object,Boundary,trace fixation Supplies role-anchor equivalence classes,Boundary-trace fixation Supplies role-anchor equivalence classes. Standing-admissibility Converts positive-side standing into admissibility-bearing identity continuation. Trajectory coherence Forces lawful lineage rather than mere trace. Irreversibility Converts participation into consequence-retaining persistence-bearing participation and blocks...,"Boundary-trace fixation Supplies role-anchor equivalence classes. Standing-admissibility Converts positive-side standing into admissibility-bearing identity continuation. Trajectory coherence Forces lawful lineage rather than mere trace. Irreversibility Converts participation into consequence-retaining persistence-bearing participation and blocks abstract-only repair. ATS Forces persistence load to be anchor or tensor, not skin. AMetric boundary Blocks default realization and canonical representative selection. Fixed-domain exhaustion Closes hidden remainder routes.",trace fixation Supplies role-anchor equivalence classes,kernel-consistent AASC deployment; interface-safe reconstruction; closure-controlled downstream use; gated admissibility evaluation,"ungated scope transport or modality laundering; unlicensed numerical fit, parameter import, or empirical value laundering",As declared or implied in source object; dependency normalization pending.,kernel/interface synthesis; AMetric/interface/interior arcs; closure/exhaustion/rigidity mapping; gate/validator architecture,kernel/interface synthesis; AMetric/interface/interior arcs; closure/exhaustion/rigidity mapping; gate/validator architecture,Kernel / admissibility-standing-reference-irreversibility,"kernel primitives, standing, reference, admissibility, irreversibility",High value for numerical/parameter/metric overclaim firewall control,standing-admissibility | standing-bearing
standing_admissibility_identity,200,YES,Preferred hardened version,2026-05-27 upload; individual PDF modified dates preserved in archive,New erk files May 27.zip,ERK20260527-New_erk_files_May_534018-DEF-002,Standing-Admissibility Identity Closure A Fixed-Domain Meta-Necessity Closure,New_erk_files_May_27_Standing_Admissibility_Identity_Closure.pdf,Page 2; formal number 2.2,Definition,Typed roles of the two classifiers,"For x ∈ X, • A(x) = 1 means that x is admitted for same-domain fixation and admissible use; • S(x) = 1 means that x is standing-positive for same-domain standing-bearing reuse and continu ation.","Definition 2.2 (Typed roles of the two classifiers). For x ∈ X, • A(x) = 1 means that x is admitted for same-domain fixation and admissible use; • S(x) = 1 means that x is standing-positive for same-domain standing-bearing reuse and continu ation.",Typed roles of the two classifiers,kernel-consistent AASC deployment; closure-controlled downstream use,"Do not use outside fixed scope, as a free generator, or as an unlicensed cross-arc transport.",As declared or implied in source object; dependency normalization pending.,kernel/interface synthesis; closure/exhaustion/rigidity mapping,kernel/interface synthesis; closure/exhaustion/rigidity mapping,Kernel / admissibility-standing-reference-irreversibility,"kernel primitives, standing, reference, admissibility, irreversibility",Normal formal-object audit risk,standing-admissibility | standing-bearing
standing_admissibility_identity,200,YES,Preferred hardened version,2026-05-27 upload; individual PDF modified dates preserved in archive,New erk files May 27.zip,ERK20260527-New_erk_files_May_534018-DEF-008,Standing-Admissibility Identity Closure A Fixed-Domain Meta-Necessity Closure,New_erk_files_May_27_Standing_Admissibility_Identity_Closure.pdf,Page 4; formal number 4.1,Definition,Same-domain classifier,"A same-domain classifier is a map G : X → {0, 1} claimed to govern same-domain fixation or standing-bearing reuse on the fixed domain.","Definition 4.1 (Same-domain classifier). A same-domain classifier is a map G : X → {0, 1} claimed to govern same-domain fixation or standing-bearing reuse on the fixed domain.",Same-domain classifier,kernel-consistent AASC deployment; closure-controlled downstream use,"Do not use outside fixed scope, as a free generator, or as an unlicensed cross-arc transport.",As declared or implied in source object; dependency normalization pending.,kernel/interface synthesis; closure/exhaustion/rigidity mapping,kernel/interface synthesis; closure/exhaustion/rigidity mapping,Kernel / admissibility-standing-reference-irreversibility,"kernel primitives, standing, reference, admissibility, irreversibility",Normal formal-object audit risk,standing-admissibility | standing-bearing
standing_admissibility_identity,200,YES,Preferred hardened version,2026-05-27 upload; individual PDF modified dates preserved in archive,New erk files May 27.zip,ERK20260527-New_erk_files_May_534018-THM-002,Standing-Admissibility Identity Closure A Fixed-Domain Meta-Necessity Closure,New_erk_files_May_27_Standing_Admissibility_Identity_Closure.pdf,Page 4; formal number 4.2,Theorem,Unique same-domain gate classification,"Let G, G′ : X → {0, 1} be lawful samedomain classifiers, each claimed to govern same-domain fixation or standing-bearing reuse on the same fixed domain. Then G and G′ agree pointwise on X.","Theorem 4.2 (Unique same-domain gate classification). Let G, G′ : X → {0, 1} be lawful samedomain classifiers, each claimed to govern same-domain fixation or standing-bearing reuse on the same fixed domain. Then G and G′ agree pointwise on X.",Unique same-domain gate classification,kernel-consistent AASC deployment; closure-controlled downstream use; gated admissibility evaluation,ungated scope transport or modality laundering,As declared or implied in source object; dependency normalization pending.,kernel/interface synthesis; closure/exhaustion/rigidity mapping; gate/validator architecture,kernel/interface synthesis; closure/exhaustion/rigidity mapping; gate/validator architecture,Kernel / admissibility-standing-reference-irreversibility,"kernel primitives, standing, reference, admissibility, irreversibility",Normal formal-object audit risk,standing-admissibility | standing-bearing
standing_admissibility_identity,200,YES,Preferred hardened version,2026-05-27 upload; individual PDF modified dates preserved in archive,New erk files May 27.zip,ERK20260527-New_erk_files_May_534018-DEF-009,Standing-Admissibility Identity Closure A Fixed-Domain Meta-Necessity Closure,New_erk_files_May_27_Standing_Admissibility_Identity_Closure.pdf,Page 5; formal number 5.1,Definition,Route classes,A governance-relevant divergence route is classified as follows. Class I. Standing-neutral admissibility: an evaluated state satisfies Σ10 immediately. Class II. Deferred admissibility / standing: a retained same-domain lineage treats an earlier state as not yet standing-bearing but intends a later stage on that same lineage to become standing-positive...,"Definition 5.1 (Route classes). A governance-relevant divergence route is classified as follows. Class I. Standing-neutral admissibility: an evaluated state satisfies Σ10 immediately. Class II. Deferred admissibility / standing: a retained same-domain lineage treats an earlier state as not yet standing-bearing but intends a later stage on that same lineage to become standing-positive without explicit reset. Class III. Admissibility reset: a state or retained lineage first classified negatively is later treated positively as that same evaluated state. Class IV. Factorized governance: admissibility and standing operate as distinct same-domain classifiers with independent governance force. Class V. Illicit standing modification: standing is created, amplified, transferred, suspended, parti tioned, or recovered independently of admissibility on the same fixed domain.",Route classes,kernel-consistent AASC deployment; closure-controlled downstream use,"Do not use outside fixed scope, as a free generator, or as an unlicensed cross-arc transport.",As declared or implied in source object; dependency normalization pending.,kernel/interface synthesis; closure/exhaustion/rigidity mapping,kernel/interface synthesis; closure/exhaustion/rigidity mapping,Kernel / admissibility-standing-reference-irreversibility,"kernel primitives, standing, reference, admissibility, irreversibility",Normal formal-object audit risk,standing-admissibility | standing-bearing
standing_admissibility_identity,200,YES,Preferred hardened version,2026-05-27 upload; individual PDF modified dates preserved in archive,New erk files May 27.zip,ERK20260527-New_erk_files_May_534018-THM-008,Standing-Admissibility Identity Closure A Fixed-Domain Meta-Necessity Closure,New_erk_files_May_27_Standing_Admissibility_Identity_Closure.pdf,Page 9; formal number 6.7,Theorem,Collapse of Class V,"Illicit standing modification collapses. Proof. By the standing-source dichotomy, every purported same-domain standing source independent of admissibility is either Class IV or Class V. The Class IV branch is already collapsed. On the genuine Class V branch, the regime creates, amplifies, transfers, suspends, partitions, or recovers standing-bearing...","Theorem 6.7 (Collapse of Class V). Illicit standing modification collapses. Proof. By the standing-source dichotomy, every purported same-domain standing source independent of admissibility is either Class IV or Class V. The Class IV branch is already collapsed. On the genuine Class V branch, the regime creates, amplifies, transfers, suspends, partitions, or recovers standing-bearing authority independently of admissibility. That is excluded by standing conservation (F5). If the source is imported from another domain, then the move is not same-domain and so does not count as a surviving same-domain route. Therefore Class V collapses.",Collapse of Class V,kernel-consistent AASC deployment; interface-safe reconstruction; closure-controlled downstream use,"primitive reification, compatibility-only promotion, or post-hoc repair",As declared or implied in source object; dependency normalization pending.,kernel/interface synthesis; AMetric/interface/interior arcs; closure/exhaustion/rigidity mapping; Impossibility Suite / boundary blockers,kernel/interface synthesis; AMetric/interface/interior arcs; closure/exhaustion/rigidity mapping; Impossibility Suite / boundary blockers,Kernel / admissibility-standing-reference-irreversibility,"kernel primitives, standing, reference, admissibility, irreversibility",Normal formal-object audit risk,standing-admissibility | standing-bearing
standing_admissibility_identity,200,YES,Preferred hardened version,2026-05-27 upload; individual PDF modified dates preserved in archive,New erk files May 27.zip,ERK20260527-New_erk_files_May_41605D-THM-044,The AMetric Boundary as a Unique Regime-Invariant Constraint on Admissibility-Bearing Construction,New_erk_files_May_27_The_AMetric_Boundary_as_a_Unique_Regime_Invariant_Constraint_on_Admissibility_Bearing_Construction.pdf,Page 47; formal number 7.49,Theorem,Admissibility constraint on No primitive infinitary standing acts,"In a coherent standing-governed regime with finitely presentable acts (Theorem 7.47) and fail-closed bivalent standing (Theorems 4.15 and 4.43), no primitive infinitary act is standing-bearing. More precisely: if an act token a purports to extend standing by certifying an infinitary premise family, then either","Theorem 7.49 (Admissibility constraint on No primitive infinitary standing acts). In a coherent standing-governed regime with finitely presentable acts (Theorem 7.47) and fail-closed bivalent standing (Theorems 4.15 and 4.43), no primitive infinitary act is standing-bearing. More precisely: if an act token a purports to extend standing by certifying an infinitary premise family, then either",Admissibility constraint on No primitive infinitary standing acts,kernel-consistent AASC deployment; interface-safe reconstruction; closure-controlled downstream use; gated admissibility evaluation; typed AASC construction under fixed scope,"ungated scope transport or modality laundering; unlicensed numerical fit, parameter import, or empirical value laundering",As declared or implied in source object; dependency normalization pending.,kernel/interface synthesis; AMetric/interface/interior arcs; closure/exhaustion/rigidity mapping; gate/validator architecture; residue/discrete constraint arcs,kernel/interface synthesis; AMetric/interface/interior arcs; closure/exhaustion/rigidity mapping; gate/validator architecture; residue/discrete constraint arcs,AMetric / interface / interior layer,"AMetric Boundary, bivalence, admissible interior, regime-invariant interface control",High value for numerical/parameter/metric overclaim firewall control,standing acts | standing-bearing
standing_admissibility_identity,195,YES,Preferred hardened version,2026-05-27 upload; individual PDF modified dates preserved in archive,New erk files May 27.zip,ERK20260527-New_erk_files_May_7381DE-THM-008,"Eadem Natura, Duo Spectra: The Forced Two-Spectrum Structure of Evaluability",New_erk_files_May_27_Eadem_Natura__Duo_Spectra.pdf,Page 27; formal number 6.1,Theorem,Local Fixation Exhaustion from the Target-Class Kernel,Let a post-closure construction regime satisfy the target-class kernel of Theorem 2.6. Then every standing-bearing constructed state must have its construction role fixed either by the regime’s own admissible structure or by an admissible external anchor. A construction sequence that supplies neither fixation collapses by loss of reuse-stable standing. A...,"Theorem 6.1 (Local Fixation Exhaustion from the Target-Class Kernel). Let a post-closure construction regime satisfy the target-class kernel of Theorem 2.6. Then every standing-bearing constructed state must have its construction role fixed either by the regime’s own admissible structure or by an admissible external anchor. A construction sequence that supplies neither fixation collapses by loss of reuse-stable standing. A construction sequence that supplies both as independent same-scope anchors decomposes into coordinated scopes or collapses by role fusion. Conversely, admissible post-closure stabilization is internal fixation, external fixation, or declared scope change. Constraint demonstration. Standing is reuse-stable admissibility under identity preservation. Reuse-stable admissibility requires a stable source of construction-role determination. Under the target-class kernel there are only two ways to supply that determination without domain drift. Either the standing role is fixed by the internal admissible structure of the regime, or it is fixed by an external anchor not generated by that internal structure. If neither source is supplied, the constructed state lacks the fixation required for later same-state use and collapses. If both are supplied as independent anchors",Local Fixation Exhaustion from the Target-Class Kernel,kernel-consistent AASC deployment; interface-safe reconstruction; closure-controlled downstream use; gated admissibility evaluation; typed AASC construction under fixed scope,"ungated scope transport or modality laundering; primitive reification, compatibility-only promotion, or post-hoc repair; unlicensed numerical fit, parameter import, or empirical value laundering",As declared or implied in source object; dependency normalization pending.,kernel/interface synthesis; AMetric/interface/interior arcs; closure/exhaustion/rigidity mapping; gate/validator architecture; Impossibility Suite / boundary blockers,kernel/interface synthesis; AMetric/interface/interior arcs; closure/exhaustion/rigidity mapping; gate/validator architecture; Impossibility Suite / boundary blockers,Numerical forcing / exactness layer,"numerical forcing, exactness, rigidity, mass-ratio, constant-readout, anchor-control layer",High value for numerical/parameter/metric overclaim firewall control,reuse-stable | standing-bearing
standing_admissibility_identity,195,YES,Preferred hardened version,2026-05-27 upload; individual PDF modified dates preserved in archive,New erk files May 27.zip,ERK20260527-New_erk_files_May_35B594-THM-021,"Non-Degenerate Construction and the Kernel of Admissibility An Exhaustion Theorem for Standing, Reference, and Irreversibility",New_erk_files_May_27_Non_Degenerate_Construction_and_the_Kernel_of_Admissibility.pdf,Page 26; formal number 6.5,Theorem,Extensional uniqueness of the admissible interior,"For a fixed system S on a fixed domain, the admissible interior is unique up to extensional, or lawful, equivalence. More precisely, if I1 and I2 are predicates on acts such that each contains exactly the standing acts of S, then for every act a, I1 (a) ⇐⇒ I2 (a). Equivalently: in the standing-instantiated regime, there are no plural admissible interiors in...","Theorem 6.5 (Extensional uniqueness of the admissible interior). For a fixed system S on a fixed domain, the admissible interior is unique up to extensional, or lawful, equivalence. More precisely, if I1 and I2 are predicates on acts such that each contains exactly the standing acts of S, then for every act a, I1 (a) ⇐⇒ I2 (a). Equivalently: in the standing-instantiated regime, there are no plural admissible interiors in extension; any adequate encoding of the admissible interior collapses pointwise to the standing predicate.",Extensional uniqueness of the admissible interior,kernel-consistent AASC deployment; interface-safe reconstruction; closure-controlled downstream use; typed AASC construction under fixed scope,"primitive reification, compatibility-only promotion, or post-hoc repair",As declared or implied in source object; dependency normalization pending.,kernel/interface synthesis; AMetric/interface/interior arcs; closure/exhaustion/rigidity mapping; Impossibility Suite / boundary blockers,kernel/interface synthesis; AMetric/interface/interior arcs; closure/exhaustion/rigidity mapping; Impossibility Suite / boundary blockers,Kernel / admissibility-standing-reference-irreversibility,"kernel primitives, standing, reference, admissibility, irreversibility",Normal formal-object audit risk,standing acts | standing predicate
