source_support_cluster,score,source_id,paper_title,source_file,section_or_page,object_type,object_name,short_claim_summary,verbatim_or_near_verbatim_claim,citation_pointer,version_preference_status,canonical_status,AASC_family,AASC_subfamily,kernel_role,interface_role,closure_role,gate_role,impossibility_role,construction_role,licenses,forbids,dependencies,downstream_uses
The AMetric Boundary as a Unique Regime-Invariant Constraint,48,ERK20260527-New_erk_files_May_41605D-THM-002,The AMetric Boundary as a Unique Regime-Invariant Constraint on Admissibility-Bearing Construction,New_erk_files_May_27_The_AMetric_Boundary_as_a_Unique_Regime_Invariant_Constraint_on_Admissibility_Bearing_Construction.pdf,Page 5; formal number 2.5,Theorem,Admissibility constraint on no-selector/no-parameter boundary authority,"At the AMetric boundary, no boundary-authority attempt can be admissibility-bearing inside the fixed comparison class. Every such construction sequence terminates in exactly one of the following dispositions:","Theorem 2.5 (Admissibility constraint on no-selector/no-parameter boundary authority). At the AMetric boundary, no boundary-authority attempt can be admissibility-bearing inside the fixed comparison class. Every such construction sequence terminates in exactly one of the following dispositions:","New_erk_files_May_27_The_AMetric_Boundary_as_a_Unique_Regime_Invariant_Constraint_on_Admissibility_Bearing_Construction.pdf, p. 5",Preferred hardened version,Preferred hardened candidate from May 27 ERK source PDF,AMetric / interface / interior layer,"AMetric Boundary, bivalence, admissible interior, regime-invariant interface control","Directly constrains admissibility, standing, reference fixation, confirmation, identity preservation, non-degeneracy, or irreversibility.","Controls AASC interface formation, metric/nonmetric status, admissible interior, quotient/projection, or bookkeeping interpretation.","Provides closure, exhaustion, minimality, uniqueness, rigidity, maximality, forcing, or certificate support.",Gate/envelope/scope/modality/classification/audit-control role.,,"Controls admissible construction or application in a formal, physical, agentic, numerical, or engineering regime.",kernel-consistent AASC deployment; interface-safe reconstruction; closure-controlled downstream use; gated admissibility evaluation; typed AASC construction under fixed scope,"ungated scope transport or modality laundering; unlicensed numerical fit, parameter import, or empirical value laundering",As declared or implied in source object; dependency normalization pending.,kernel/interface synthesis; AMetric/interface/interior arcs; closure/exhaustion/rigidity mapping; gate/validator architecture
The AMetric Boundary as a Unique Regime-Invariant Constraint,47,ERK20260527-New_erk_files_May_41605D-THM-005,The AMetric Boundary as a Unique Regime-Invariant Constraint on Admissibility-Bearing Construction,New_erk_files_May_27_The_AMetric_Boundary_as_a_Unique_Regime_Invariant_Constraint_on_Admissibility_Bearing_Construction.pdf,Page 7; formal number 2.12,Theorem,Admissibility constraint on route exhaustion,"Every same-scope construction se quence that attempts to violate the AMetric boundary instantiates at least one route in Theorem 2.11. No ninth route exists inside the fixed comparison class. Construction witness. By Theorem 2.8, every admissibility-bearing boundary deviation must alter evaluated-act classification or retained trajectory structure. At the...","Theorem 2.12 (Admissibility constraint on route exhaustion). Every same-scope construction se quence that attempts to violate the AMetric boundary instantiates at least one route in Theorem 2.11. No ninth route exists inside the fixed comparison class. Construction witness. By Theorem 2.8, every admissibility-bearing boundary deviation must alter evaluated-act classification or retained trajectory structure. At the classification locus, deviation requires selector import, parameter injection, second classifier formation, representative privilege, or scope transport. At the trajectory locus, deviation requires deferred admission, repair/reset laundering, or a tensor treated as an operator or stabilizer. If a proposed deviation changes neither locus, it is bookkeeping. Thus the listed routes exhaust the fixed-domain possibilities. □","New_erk_files_May_27_The_AMetric_Boundary_as_a_Unique_Regime_Invariant_Constraint_on_Admissibility_Bearing_Construction.pdf, p. 7",Preferred hardened version,Preferred hardened candidate from May 27 ERK source PDF,AMetric / interface / interior layer,"AMetric Boundary, bivalence, admissible interior, regime-invariant interface control","Directly constrains admissibility, standing, reference fixation, confirmation, identity preservation, non-degeneracy, or irreversibility.","Controls AASC interface formation, metric/nonmetric status, admissible interior, quotient/projection, or bookkeeping interpretation.","Provides closure, exhaustion, minimality, uniqueness, rigidity, maximality, forcing, or certificate support.",Gate/envelope/scope/modality/classification/audit-control role.,,"Controls admissible construction or application in a formal, physical, agentic, numerical, or engineering regime.",kernel-consistent AASC deployment; interface-safe reconstruction; closure-controlled downstream use; gated admissibility evaluation; typed AASC construction under fixed scope,"ungated scope transport or modality laundering; unlicensed numerical fit, parameter import, or empirical value laundering",As declared or implied in source object; dependency normalization pending.,kernel/interface synthesis; AMetric/interface/interior arcs; closure/exhaustion/rigidity mapping; gate/validator architecture; operator/formal-system closure arcs
The AMetric Boundary as a Unique Regime-Invariant Constraint,47,ERK20260527-New_erk_files_May_41605D-THM-039,The AMetric Boundary as a Unique Regime-Invariant Constraint on Admissibility-Bearing Construction,New_erk_files_May_27_The_AMetric_Boundary_as_a_Unique_Regime_Invariant_Constraint_on_Admissibility_Bearing_Construction.pdf,Page 42; formal number 7.36,Theorem,:,"(S1) Boundary selector form: the instance makes eligibility depend on an admissibility-relevant parameter, ordering, metric/proximity notion, or explicit selection among alternatives (hence violates Theorem 5.26);","Theorem 7.36: (S1) Boundary selector form: the instance makes eligibility depend on an admissibility-relevant parameter, ordering, metric/proximity notion, or explicit selection among alternatives (hence violates Theorem 5.26);","New_erk_files_May_27_The_AMetric_Boundary_as_a_Unique_Regime_Invariant_Constraint_on_Admissibility_Bearing_Construction.pdf, p. 42",Preferred hardened version,Preferred hardened candidate from May 27 ERK source PDF,AMetric / interface / interior layer,"AMetric Boundary, bivalence, admissible interior, regime-invariant interface control","Directly constrains admissibility, standing, reference fixation, confirmation, identity preservation, non-degeneracy, or irreversibility.","Controls AASC interface formation, metric/nonmetric status, admissible interior, quotient/projection, or bookkeeping interpretation.","Provides closure, exhaustion, minimality, uniqueness, rigidity, maximality, forcing, or certificate support.",Gate/envelope/scope/modality/classification/audit-control role.,,"Controls admissible construction or application in a formal, physical, agentic, numerical, or engineering regime.",kernel-consistent AASC deployment; interface-safe reconstruction; closure-controlled downstream use; gated admissibility evaluation; typed AASC construction under fixed scope,"ungated scope transport or modality laundering; unlicensed numerical fit, parameter import, or empirical value laundering",As declared or implied in source object; dependency normalization pending.,kernel/interface synthesis; AMetric/interface/interior arcs; closure/exhaustion/rigidity mapping; gate/validator architecture; phase/time/causality/neutrino arcs
The AMetric Boundary as a Unique Regime-Invariant Constraint,47,ERK20260527-New_erk_files_May_41605D-THM-057,The AMetric Boundary as a Unique Regime-Invariant Constraint on Admissibility-Bearing Construction,New_erk_files_May_27_The_AMetric_Boundary_as_a_Unique_Regime_Invariant_Constraint_on_Admissibility_Bearing_Construction.pdf,Page 56; formal number 14.2,Theorem,Regime-invariance of the AMetric boundary,"Let R be any admissibility-bearing instantiation in the sense of Theorem 14.1. Then the admissibility boundary of R is AMetric: no admissibility-relevant metric, probability, typicality weighting, ranking, selector, canonical representative, discrete index, deeper invariant, or boundary-transmissive operation may carry boundary authority while R remains the...","Theorem 14.2 (Regime-invariance of the AMetric boundary). Let R be any admissibility-bearing instantiation in the sense of Theorem 14.1. Then the admissibility boundary of R is AMetric: no admissibility-relevant metric, probability, typicality weighting, ranking, selector, canonical representative, discrete index, deeper invariant, or boundary-transmissive operation may carry boundary authority while R remains the same regime. Any purported deviation either: (i) changes evaluated-act classification, (ii) changes coherent retained-trajectory structure, (iii) collapses to bookkeeping, or (iv) changes scope.","New_erk_files_May_27_The_AMetric_Boundary_as_a_Unique_Regime_Invariant_Constraint_on_Admissibility_Bearing_Construction.pdf, p. 56",Preferred hardened version,Preferred hardened candidate from May 27 ERK source PDF,AMetric / interface / interior layer,"AMetric Boundary, bivalence, admissible interior, regime-invariant interface control","Directly constrains admissibility, standing, reference fixation, confirmation, identity preservation, non-degeneracy, or irreversibility.","Controls AASC interface formation, metric/nonmetric status, admissible interior, quotient/projection, or bookkeeping interpretation.","Provides closure, exhaustion, minimality, uniqueness, rigidity, maximality, forcing, or certificate support.",Gate/envelope/scope/modality/classification/audit-control role.,"Blocks illicit primitive, repair, surrogate, overreach, compatibility, or standing-laundering moves.","Controls admissible construction or application in a formal, physical, agentic, numerical, or engineering regime.",kernel-consistent AASC deployment; interface-safe reconstruction; closure-controlled downstream use; gated admissibility evaluation; typed AASC construction under fixed scope,"ungated scope transport or modality laundering; primitive reification, compatibility-only promotion, or post-hoc repair; unlicensed numerical fit, parameter import, or empirical value laundering",As declared or implied in source object; dependency normalization pending.,kernel/interface synthesis; AMetric/interface/interior arcs; closure/exhaustion/rigidity mapping; gate/validator architecture; Impossibility Suite / boundary blockers; residue/discrete constraint arcs
The AMetric Boundary as a Unique Regime-Invariant Constraint,47,ERK20260527-New_erk_files_May_41605D-COR-015,The AMetric Boundary as a Unique Regime-Invariant Constraint on Admissibility-Bearing Construction,New_erk_files_May_27_The_AMetric_Boundary_as_a_Unique_Regime_Invariant_Constraint_on_Admissibility_Bearing_Construction.pdf,Page 57; formal number 14.3,Corollary,Export role for downstream global results,"The AMetric boundary theorem is an interface theorem for downstream global results. A downstream manuscript may invoke it without re-deriving the boundary whenever that manuscript has independently established an admissibility-bearing instantiation of Theorem 14.1. The exported content is exactly boundary-side closure: no selector, metric, probability,...","Corollary 14.3 (Export role for downstream global results). The AMetric boundary theorem is an interface theorem for downstream global results. A downstream manuscript may invoke it without re-deriving the boundary whenever that manuscript has independently established an admissibility-bearing instantiation of Theorem 14.1. The exported content is exactly boundary-side closure: no selector, metric, probability, ranking, canonical representative, index, deeper invariant, or boundary-transmissive operation can be introduced as admissibility authority without scope change.","New_erk_files_May_27_The_AMetric_Boundary_as_a_Unique_Regime_Invariant_Constraint_on_Admissibility_Bearing_Construction.pdf, p. 57",Preferred hardened version,Preferred hardened candidate from May 27 ERK source PDF,AMetric / interface / interior layer,"AMetric Boundary, bivalence, admissible interior, regime-invariant interface control","Directly constrains admissibility, standing, reference fixation, confirmation, identity preservation, non-degeneracy, or irreversibility.","Controls AASC interface formation, metric/nonmetric status, admissible interior, quotient/projection, or bookkeeping interpretation.","Provides closure, exhaustion, minimality, uniqueness, rigidity, maximality, forcing, or certificate support.",Gate/envelope/scope/modality/classification/audit-control role.,,"Controls admissible construction or application in a formal, physical, agentic, numerical, or engineering regime.",kernel-consistent AASC deployment; interface-safe reconstruction; closure-controlled downstream use; gated admissibility evaluation; typed AASC construction under fixed scope,"ungated scope transport or modality laundering; unlicensed numerical fit, parameter import, or empirical value laundering",As declared or implied in source object; dependency normalization pending.,kernel/interface synthesis; AMetric/interface/interior arcs; closure/exhaustion/rigidity mapping; gate/validator architecture
The Structure of Admissibility,40,ERK20260527-New_erk_files_May_ACEB9B-THM-006,"The Structure of Admissibility Ametricity, Bivalence, and the Unique Admissible Interior",New_erk_files_May_27_The_Structure_of_Admissibility.pdf,Page 9; formal number 4.16,Theorem,AMetric boundary theorem,Assume Theorem 4.2. Then every pre-admissibly meaningful relation on P n is determined solely by equality patterns. Consequently:,Theorem 4.16 (AMetric boundary theorem). Assume Theorem 4.2. Then every pre-admissibly meaningful relation on P n is determined solely by equality patterns. Consequently:,"New_erk_files_May_27_The_Structure_of_Admissibility.pdf, p. 9",Preferred hardened version,Preferred hardened candidate from May 27 ERK source PDF,AMetric / interface / interior layer,"AMetric Boundary, bivalence, admissible interior, regime-invariant interface control","Directly constrains admissibility, standing, reference fixation, confirmation, identity preservation, non-degeneracy, or irreversibility.","Controls AASC interface formation, metric/nonmetric status, admissible interior, quotient/projection, or bookkeeping interpretation.","Provides closure, exhaustion, minimality, uniqueness, rigidity, maximality, forcing, or certificate support.",Gate/envelope/scope/modality/classification/audit-control role.,,,kernel-consistent AASC deployment; interface-safe reconstruction; closure-controlled downstream use; gated admissibility evaluation,"ungated scope transport or modality laundering; unlicensed numerical fit, parameter import, or empirical value laundering",As declared or implied in source object; dependency normalization pending.,kernel/interface synthesis; AMetric/interface/interior arcs; closure/exhaustion/rigidity mapping; gate/validator architecture
The Structure of Admissibility,40,ERK20260527-New_erk_files_May_ACEB9B-DEF-009,"The Structure of Admissibility Ametricity, Bivalence, and the Unique Admissible Interior",New_erk_files_May_27_The_Structure_of_Admissibility.pdf,Page 10; formal number 4.18,Definition,AMetric boundary,"The AMetric boundary is the interface separating (i) pre-admissible classification of proposals, from (ii) post-admissible licensed transformation on the admitted interior.","Definition 4.18 (AMetric boundary). The AMetric boundary is the interface separating (i) pre-admissible classification of proposals, from (ii) post-admissible licensed transformation on the admitted interior.","New_erk_files_May_27_The_Structure_of_Admissibility.pdf, p. 10",Preferred hardened version,Preferred hardened candidate from May 27 ERK source PDF,AMetric / interface / interior layer,"AMetric Boundary, bivalence, admissible interior, regime-invariant interface control","Directly constrains admissibility, standing, reference fixation, confirmation, identity preservation, non-degeneracy, or irreversibility.","Controls AASC interface formation, metric/nonmetric status, admissible interior, quotient/projection, or bookkeeping interpretation.","Provides closure, exhaustion, minimality, uniqueness, rigidity, maximality, forcing, or certificate support.",Gate/envelope/scope/modality/classification/audit-control role.,,,kernel-consistent AASC deployment; interface-safe reconstruction; closure-controlled downstream use; gated admissibility evaluation,"ungated scope transport or modality laundering; unlicensed numerical fit, parameter import, or empirical value laundering",As declared or implied in source object; dependency normalization pending.,kernel/interface synthesis; AMetric/interface/interior arcs; closure/exhaustion/rigidity mapping; gate/validator architecture
The Structure of Admissibility,40,ERK20260527-New_erk_files_May_ACEB9B-THM-007,"The Structure of Admissibility Ametricity, Bivalence, and the Unique Admissible Interior",New_erk_files_May_27_The_Structure_of_Admissibility.pdf,Page 10; formal number 4.20,Theorem,Boundary non-action,"No licensed action, execution, or transformation occurs at the AMetric boundary. Boundary work is classificatory rather than operational.","Theorem 4.20 (Boundary non-action). No licensed action, execution, or transformation occurs at the AMetric boundary. Boundary work is classificatory rather than operational.","New_erk_files_May_27_The_Structure_of_Admissibility.pdf, p. 10",Preferred hardened version,Preferred hardened candidate from May 27 ERK source PDF,AMetric / interface / interior layer,"AMetric Boundary, bivalence, admissible interior, regime-invariant interface control","Directly constrains admissibility, standing, reference fixation, confirmation, identity preservation, non-degeneracy, or irreversibility.","Controls AASC interface formation, metric/nonmetric status, admissible interior, quotient/projection, or bookkeeping interpretation.","Provides closure, exhaustion, minimality, uniqueness, rigidity, maximality, forcing, or certificate support.",Gate/envelope/scope/modality/classification/audit-control role.,,,kernel-consistent AASC deployment; interface-safe reconstruction; closure-controlled downstream use; gated admissibility evaluation,"ungated scope transport or modality laundering; unlicensed numerical fit, parameter import, or empirical value laundering",As declared or implied in source object; dependency normalization pending.,kernel/interface synthesis; AMetric/interface/interior arcs; closure/exhaustion/rigidity mapping; gate/validator architecture
The Structure of Admissibility,40,ERK20260527-New_erk_files_May_ACEB9B-THM-009,"The Structure of Admissibility Ametricity, Bivalence, and the Unique Admissible Interior",New_erk_files_May_27_The_Structure_of_Admissibility.pdf,Page 10; formal number 4.21,Theorem,Operator undefinedness at the boundary,No admissibility-conferring operator is defined on the AMetric boundary itself.,Theorem 4.21 (Operator undefinedness at the boundary). No admissibility-conferring operator is defined on the AMetric boundary itself.,"New_erk_files_May_27_The_Structure_of_Admissibility.pdf, p. 10",Preferred hardened version,Preferred hardened candidate from May 27 ERK source PDF,AMetric / interface / interior layer,"AMetric Boundary, bivalence, admissible interior, regime-invariant interface control","Directly constrains admissibility, standing, reference fixation, confirmation, identity preservation, non-degeneracy, or irreversibility.","Controls AASC interface formation, metric/nonmetric status, admissible interior, quotient/projection, or bookkeeping interpretation.","Provides closure, exhaustion, minimality, uniqueness, rigidity, maximality, forcing, or certificate support.",Gate/envelope/scope/modality/classification/audit-control role.,,"Controls admissible construction or application in a formal, physical, agentic, numerical, or engineering regime.",kernel-consistent AASC deployment; interface-safe reconstruction; closure-controlled downstream use; gated admissibility evaluation; typed AASC construction under fixed scope,"ungated scope transport or modality laundering; unlicensed numerical fit, parameter import, or empirical value laundering",As declared or implied in source object; dependency normalization pending.,kernel/interface synthesis; AMetric/interface/interior arcs; closure/exhaustion/rigidity mapping; gate/validator architecture; operator/formal-system closure arcs
The Structure of Admissibility,40,ERK20260527-New_erk_files_May_ACEB9B-THM-011,"The Structure of Admissibility Ametricity, Bivalence, and the Unique Admissible Interior",New_erk_files_May_27_The_Structure_of_Admissibility.pdf,Page 11; formal number 4.24,Theorem,Boundary non-transmissivity,"No admissible structure may be transported backward across the AMetric boundary. In particular, no post-fixation metric, order, selector, operator, or privileged interior chart may be used to govern pre-admissible classification.","Theorem 4.24 (Boundary non-transmissivity). No admissible structure may be transported backward across the AMetric boundary. In particular, no post-fixation metric, order, selector, operator, or privileged interior chart may be used to govern pre-admissible classification.","New_erk_files_May_27_The_Structure_of_Admissibility.pdf, p. 11",Preferred hardened version,Preferred hardened candidate from May 27 ERK source PDF,AMetric / interface / interior layer,"AMetric Boundary, bivalence, admissible interior, regime-invariant interface control","Directly constrains admissibility, standing, reference fixation, confirmation, identity preservation, non-degeneracy, or irreversibility.","Controls AASC interface formation, metric/nonmetric status, admissible interior, quotient/projection, or bookkeeping interpretation.","Provides closure, exhaustion, minimality, uniqueness, rigidity, maximality, forcing, or certificate support.",Gate/envelope/scope/modality/classification/audit-control role.,"Blocks illicit primitive, repair, surrogate, overreach, compatibility, or standing-laundering moves.","Controls admissible construction or application in a formal, physical, agentic, numerical, or engineering regime.",kernel-consistent AASC deployment; interface-safe reconstruction; closure-controlled downstream use; gated admissibility evaluation; typed AASC construction under fixed scope,"ungated scope transport or modality laundering; primitive reification, compatibility-only promotion, or post-hoc repair; unlicensed numerical fit, parameter import, or empirical value laundering",As declared or implied in source object; dependency normalization pending.,kernel/interface synthesis; AMetric/interface/interior arcs; closure/exhaustion/rigidity mapping; gate/validator architecture; Impossibility Suite / boundary blockers; operator/formal-system closure arcs
Standing-Admissibility Identity Closure,41,ERK20260527-New_erk_files_May_534018-DEF-008,Standing-Admissibility Identity Closure A Fixed-Domain Meta-Necessity Closure,New_erk_files_May_27_Standing_Admissibility_Identity_Closure.pdf,Page 4; formal number 4.1,Definition,Same-domain classifier,"A same-domain classifier is a map G : X → {0, 1} claimed to govern same-domain fixation or standing-bearing reuse on the fixed domain.","Definition 4.1 (Same-domain classifier). A same-domain classifier is a map G : X → {0, 1} claimed to govern same-domain fixation or standing-bearing reuse on the fixed domain.","New_erk_files_May_27_Standing_Admissibility_Identity_Closure.pdf, p. 4",Preferred hardened version,Preferred hardened candidate from May 27 ERK source PDF,Kernel / admissibility-standing-reference-irreversibility,"kernel primitives, standing, reference, admissibility, irreversibility","Directly constrains admissibility, standing, reference fixation, confirmation, identity preservation, non-degeneracy, or irreversibility.",,"Provides closure, exhaustion, minimality, uniqueness, rigidity, maximality, forcing, or certificate support.",,,,kernel-consistent AASC deployment; closure-controlled downstream use,"Do not use outside fixed scope, as a free generator, or as an unlicensed cross-arc transport.",As declared or implied in source object; dependency normalization pending.,kernel/interface synthesis; closure/exhaustion/rigidity mapping
Standing-Admissibility Identity Closure,41,ERK20260527-New_erk_files_May_534018-THM-002,Standing-Admissibility Identity Closure A Fixed-Domain Meta-Necessity Closure,New_erk_files_May_27_Standing_Admissibility_Identity_Closure.pdf,Page 4; formal number 4.2,Theorem,Unique same-domain gate classification,"Let G, G′ : X → {0, 1} be lawful samedomain classifiers, each claimed to govern same-domain fixation or standing-bearing reuse on the same fixed domain. Then G and G′ agree pointwise on X.","Theorem 4.2 (Unique same-domain gate classification). Let G, G′ : X → {0, 1} be lawful samedomain classifiers, each claimed to govern same-domain fixation or standing-bearing reuse on the same fixed domain. Then G and G′ agree pointwise on X.","New_erk_files_May_27_Standing_Admissibility_Identity_Closure.pdf, p. 4",Preferred hardened version,Preferred hardened candidate from May 27 ERK source PDF,Kernel / admissibility-standing-reference-irreversibility,"kernel primitives, standing, reference, admissibility, irreversibility","Directly constrains admissibility, standing, reference fixation, confirmation, identity preservation, non-degeneracy, or irreversibility.",,"Provides closure, exhaustion, minimality, uniqueness, rigidity, maximality, forcing, or certificate support.",Gate/envelope/scope/modality/classification/audit-control role.,,,kernel-consistent AASC deployment; closure-controlled downstream use; gated admissibility evaluation,ungated scope transport or modality laundering,As declared or implied in source object; dependency normalization pending.,kernel/interface synthesis; closure/exhaustion/rigidity mapping; gate/validator architecture
Standing-Admissibility Identity Closure,39,ERK20260527-New_erk_files_May_534018-DEF-009,Standing-Admissibility Identity Closure A Fixed-Domain Meta-Necessity Closure,New_erk_files_May_27_Standing_Admissibility_Identity_Closure.pdf,Page 5; formal number 5.1,Definition,Route classes,A governance-relevant divergence route is classified as follows. Class I. Standing-neutral admissibility: an evaluated state satisfies Σ10 immediately. Class II. Deferred admissibility / standing: a retained same-domain lineage treats an earlier state as not yet standing-bearing but intends a later stage on that same lineage to become standing-positive...,"Definition 5.1 (Route classes). A governance-relevant divergence route is classified as follows. Class I. Standing-neutral admissibility: an evaluated state satisfies Σ10 immediately. Class II. Deferred admissibility / standing: a retained same-domain lineage treats an earlier state as not yet standing-bearing but intends a later stage on that same lineage to become standing-positive without explicit reset. Class III. Admissibility reset: a state or retained lineage first classified negatively is later treated positively as that same evaluated state. Class IV. Factorized governance: admissibility and standing operate as distinct same-domain classifiers with independent governance force. Class V. Illicit standing modification: standing is created, amplified, transferred, suspended, parti tioned, or recovered independently of admissibility on the same fixed domain.","New_erk_files_May_27_Standing_Admissibility_Identity_Closure.pdf, p. 5",Preferred hardened version,Preferred hardened candidate from May 27 ERK source PDF,Kernel / admissibility-standing-reference-irreversibility,"kernel primitives, standing, reference, admissibility, irreversibility","Directly constrains admissibility, standing, reference fixation, confirmation, identity preservation, non-degeneracy, or irreversibility.",,"Provides closure, exhaustion, minimality, uniqueness, rigidity, maximality, forcing, or certificate support.",,,,kernel-consistent AASC deployment; closure-controlled downstream use,"Do not use outside fixed scope, as a free generator, or as an unlicensed cross-arc transport.",As declared or implied in source object; dependency normalization pending.,kernel/interface synthesis; closure/exhaustion/rigidity mapping
Standing-Admissibility Identity Closure,34,ERK20260527-New_erk_files_May_534018-DEF-001,Standing-Admissibility Identity Closure A Fixed-Domain Meta-Necessity Closure,New_erk_files_May_27_Standing_Admissibility_Identity_Closure.pdf,Page 2; formal number 2.1,Definition,Fixed domain,"A fixed domain is a tuple D = (X, A, S, ⇝, ∼)","Definition 2.1 (Fixed domain). A fixed domain is a tuple D = (X, A, S, ⇝, ∼)","New_erk_files_May_27_Standing_Admissibility_Identity_Closure.pdf, p. 2",Preferred hardened version,Preferred hardened candidate from May 27 ERK source PDF,Kernel / admissibility-standing-reference-irreversibility,"kernel primitives, standing, reference, admissibility, irreversibility","Directly constrains admissibility, standing, reference fixation, confirmation, identity preservation, non-degeneracy, or irreversibility.",,"Provides closure, exhaustion, minimality, uniqueness, rigidity, maximality, forcing, or certificate support.",,,,kernel-consistent AASC deployment; closure-controlled downstream use,"Do not use outside fixed scope, as a free generator, or as an unlicensed cross-arc transport.",As declared or implied in source object; dependency normalization pending.,kernel/interface synthesis; closure/exhaustion/rigidity mapping
Standing-Admissibility Identity Closure,34,ERK20260527-New_erk_files_May_534018-DEF-002,Standing-Admissibility Identity Closure A Fixed-Domain Meta-Necessity Closure,New_erk_files_May_27_Standing_Admissibility_Identity_Closure.pdf,Page 2; formal number 2.2,Definition,Typed roles of the two classifiers,"For x ∈ X, • A(x) = 1 means that x is admitted for same-domain fixation and admissible use; • S(x) = 1 means that x is standing-positive for same-domain standing-bearing reuse and continu ation.","Definition 2.2 (Typed roles of the two classifiers). For x ∈ X, • A(x) = 1 means that x is admitted for same-domain fixation and admissible use; • S(x) = 1 means that x is standing-positive for same-domain standing-bearing reuse and continu ation.","New_erk_files_May_27_Standing_Admissibility_Identity_Closure.pdf, p. 2",Preferred hardened version,Preferred hardened candidate from May 27 ERK source PDF,Kernel / admissibility-standing-reference-irreversibility,"kernel primitives, standing, reference, admissibility, irreversibility","Directly constrains admissibility, standing, reference fixation, confirmation, identity preservation, non-degeneracy, or irreversibility.",,"Provides closure, exhaustion, minimality, uniqueness, rigidity, maximality, forcing, or certificate support.",,,,kernel-consistent AASC deployment; closure-controlled downstream use,"Do not use outside fixed scope, as a free generator, or as an unlicensed cross-arc transport.",As declared or implied in source object; dependency normalization pending.,kernel/interface synthesis; closure/exhaustion/rigidity mapping
Closure by Exhaustion for Same-Scope Operators,48,ERK20260527-New_erk_files_May_553AA0-THM-001,"Closure by Exhaustion for Same-Scope Operators under Admissibility A self-contained derivation from graph rigidity, family classification, and interaction closure",New_erk_files_May_27_Closure_by_Exhaustion_for_Same_Scope_Operators_under_Admissibility.pdf,Page 8; formal number 3.10,Theorem,No same-scope totalization on the standing-bearing carrier,"Let A = (X, Ω) be a nondegenerate partial algebra. There is no same-scope admissible extension A∗ = (X ∗ , Ω∗ ) in which an operator that is partial on X becomes total on X.","Theorem 3.10 (No same-scope totalization on the standing-bearing carrier). Let A = (X, Ω) be a nondegenerate partial algebra. There is no same-scope admissible extension A∗ = (X ∗ , Ω∗ ) in which an operator that is partial on X becomes total on X.","New_erk_files_May_27_Closure_by_Exhaustion_for_Same_Scope_Operators_under_Admissibility.pdf, p. 8",Preferred hardened version,Preferred hardened candidate from May 27 ERK source PDF,Operator / formal system layer,"operator-domain, totalization, algebraic closure, formal-completability control","Directly constrains admissibility, standing, reference fixation, confirmation, identity preservation, non-degeneracy, or irreversibility.",,"Provides closure, exhaustion, minimality, uniqueness, rigidity, maximality, forcing, or certificate support.",Gate/envelope/scope/modality/classification/audit-control role.,,"Controls admissible construction or application in a formal, physical, agentic, numerical, or engineering regime.",kernel-consistent AASC deployment; closure-controlled downstream use; gated admissibility evaluation; typed AASC construction under fixed scope,ungated scope transport or modality laundering,As declared or implied in source object; dependency normalization pending.,kernel/interface synthesis; closure/exhaustion/rigidity mapping; gate/validator architecture; operator/formal-system closure arcs
Closure by Exhaustion for Same-Scope Operators,48,ERK20260527-New_erk_files_May_553AA0-THM-003,"Closure by Exhaustion for Same-Scope Operators under Admissibility A self-contained derivation from graph rigidity, family classification, and interaction closure",New_erk_files_May_27_Closure_by_Exhaustion_for_Same_Scope_Operators_under_Admissibility.pdf,Page 10; formal number 4.5,Theorem,Closure of admissible operator totalization,"All same-scope totalization strategies are exhausted and blocked. In particular, no same-scope admissible extension renders a partial operator total on the standing-bearing carrier.","Theorem 4.5 (Closure of admissible operator totalization). All same-scope totalization strategies are exhausted and blocked. In particular, no same-scope admissible extension renders a partial operator total on the standing-bearing carrier.","New_erk_files_May_27_Closure_by_Exhaustion_for_Same_Scope_Operators_under_Admissibility.pdf, p. 10",Preferred hardened version,Preferred hardened candidate from May 27 ERK source PDF,Operator / formal system layer,"operator-domain, totalization, algebraic closure, formal-completability control","Directly constrains admissibility, standing, reference fixation, confirmation, identity preservation, non-degeneracy, or irreversibility.",,"Provides closure, exhaustion, minimality, uniqueness, rigidity, maximality, forcing, or certificate support.",Gate/envelope/scope/modality/classification/audit-control role.,,"Controls admissible construction or application in a formal, physical, agentic, numerical, or engineering regime.",kernel-consistent AASC deployment; closure-controlled downstream use; gated admissibility evaluation; typed AASC construction under fixed scope,ungated scope transport or modality laundering,As declared or implied in source object; dependency normalization pending.,kernel/interface synthesis; closure/exhaustion/rigidity mapping; gate/validator architecture; operator/formal-system closure arcs
